platform,komentar,timestamp,sentimen,komentar_clean
YouTube,Towel bisa nya urusan AFF saja,1 tahun yang lalu,,towel nya urus aff
YouTube,"padahal pemain timnas belanda bnyk yg keturunan indonesia, ketika  mereka main di indo... knp jd masalah? LOL!",1 tahun yang lalu,,main timnas belanda bnyk yg turun indonesia main indo knp jd lol
YouTube,"No Hate, No Politik, only Football, Towel 🤮🤮🤮🤮",1 tahun yang lalu (diedit),,no hate no politik only football towel
YouTube,"Harusnya starting line up,50 lokal,50 naturalisasi,,, jadi 50:50",1 tahun yang lalu,,starting line up lokal naturalisasi
YouTube,"Itu tidak instan,,, tetapi itu kualitas dia,,,, contoh,,, klo pemain lokal seperti, sadil ramdani, main di Juventus,,, ya jls STY akan memanggil dia, tiwel engga faham tu😅",1 tahun yang lalu (diedit),,instan kualitas contoh klo main lokal sadil ramdani main juventus ya jls sty panggil tiwel engga faham tu
YouTube,Aku slalu berdo a agar towel segera d naturalisasi oleh cina amin.,1 tahun yang lalu,,slalu berdo a towel d naturalisasi cina amin
YouTube,TIM sekelas Dunia padahal bnyk yg pemainya naturalisasi. Inggris dengan negara liga trbaik pemainya bintangnya juga naturalisasi. Wayne roonie. Jude bellingham. Hary kane,1 tahun yang lalu,,tim kelas dunia bnyk yg mai naturalisasi inggris negara liga trbaik mai bintang naturalisasi wayne roonie jude bellingham hary kane
YouTube,Mending towel suruh debat sama gus samsudin itu malah lebih bagus.,1 tahun yang lalu,,mending towel suruh debat gus samsudin bagus
YouTube,Towel pantek,1 tahun yang lalu,,towel pantek
YouTube,Intinya pssi sukses membawa sepakbola indonesia masuk ronde 3 klualifikasi piala dunia ini fakta dan nyata naturalisasi  program fifa untuk memajukan persepak bolaan dunia secara merata kalau sebuah negara yang industri olahraga persepak bolanya blm maju kalau tdk mau menaturalisasi pemain top dari negara industri teknolo dan teklogi sepak bola maju maka jangan berharap kemajuannya dlm waktu yang cepat  buktinya sekarang kita lihat kita maju rifal lain tetangga ketinggalan kereta baru mau kejar kita sdh sampai naturalisasi itu program fifa tdk ada larangan khususnya bagi semua negara terutama negara yang sepakbolanya belum maju untuk manfaatkan programnya    ini sprit dan merubah meningkatkan sistem kompetisi sepak bola di sebuah negara agar bisa mendatangkan pemain2 bintang berkwalitas untuk merangsang pemain lokal untuk bersaing berprestasi secara menyeluruh bagi talenta muda untuk bisa masuk timnas  bergabung bersaing pendahulunya di dlm tim kalau yang menolak naturalisasi itu adalah orang pola berpikirnya sempit dan bukan pemikiran global serti pemerenta dan pssi  jadi klu orang seperti towel itu pemerenta pssi maupun netizen pendukung timnas tdk perlu tanggapi anggap saja itu sampah maklumi saja karna pengetahuannya cuma sepakbola bukan pengetahuan global,1 tahun yang lalu,,inti pssi sukses bawa sepakbola indonesia masuk ronde klualifikasi piala dunia fakta nyata naturalisasi program fifa maju sepak bola dunia rata negara industri olahraga sepak bola blm maju tdk naturalisasi main top negara industri teknolo teklogi sepak bola maju harap maju dlm cepat bukti lihat maju rifal tetangga tinggal kereta kejar sdh naturalisasi program fifa tdk larang negara negara sepakbolanya maju manfaat program sprit rubah tingkat sistem kompetisi sepak bola negara main bintang berkwalitas rangsang main lokal saing prestasi talenta muda masuk timnas gabung saing dahulu dlm tim tolak naturalisasi orang pola pikir sempit pikir global serti renta pssi klu orang towel renta pssi netizen dukung timnas tdk tanggap anggap sampah maklum karna tahu sepakbola tahu global
YouTube,Saya tetap setuju dg bung towel,1 tahun yang lalu,,tuju dg towel
YouTube,Pret apapun alasanya naturalisasi yg besar besaran itu tetap gak baik  apalagi dg sty yg mau dijadikan pelatih seumur hidup,1 tahun yang lalu,,pret apa alasanya naturalisasi yg besar gak dg sty yg jadi latih umur hidup
YouTube,Naturalisasi dan terus menerus itu adalah program instan yg tdk baik,1 tahun yang lalu,,naturalisasi terus program instan yg tdk
YouTube,Orang macam towel napa masih dikasih panggung lihat sekarang Arab Saudi ditahan imbang berkat pemain naturalisasi,1 tahun yang lalu,,orang towel napa kasih panggung lihat arab saudi tahan imbang berkat main naturalisasi
YouTube,Towel dancow' tolong jgn di kasih panggong agar tidak  bikin emosi orang banyak karena towel orang sudah sangat strees  towel bukan apa2 dan bukan siapa2 tapi towel itu hanya mau cari kesempatan  untuk bisa masuk di ke pengurusan PSSI tapi mulutnya sudah terlanjur busuk jadi tetap bau anyir sok tau sepak bola  padahal cuma sok2 an,1 tahun yang lalu,,towel dancow tolong jgn kasih panggong bikin emosi orang towel orang strees towel towel cari sempat masuk urus pssi mulut lanjur busuk bau anyir sok tau sepak bola sok an
YouTube,Towel knp kelen undang metrooooo,1 tahun yang lalu,,towel knp kelen undang metrooooo
YouTube,8:10 moment terkocak,1 tahun yang lalu,,moment kocak
YouTube,"Ini orang2 yg mau buat timnas kita hancur...
Komentar nya menjatuhkan...
Bung towel jago ngomong Emang...
Bodohnya ketahuan...
Perlu di asingkan orang ini",1 tahun yang lalu,,orang yg timnas hancur komentar nya jatuh towel jago ngomong emang bodoh tahu asing orang
YouTube,"Bodoh ni yg undang towel, dia benci sty",1 tahun yang lalu,,bodoh ni yg undang towel benci sty
YouTube,"Klo cari salah ya ga ketemu benernya bung, biarkan rakyat punya harapan cm sepak bola yg bsa menyatukan…",1 tahun yang lalu,,klo cari salah ya ga ketemu benernya biar rakyat harap cm sepak bola yg bsa satu
YouTube,Saya rasa suporter Indonesia perlu menyiapkan lagu sindiran buat towel  ketika timnas kita berlaga agar nyanyian itu di nyanyikan keras di tribun,1 tahun yang lalu,,suporter indonesia lagu sindir towel timnas laga nyanyi nyanyi keras tribun
